Requirement ID,Requirement Description,AWS Service/Feature,How Enforced/Configured,Automated Check/Test,Evidence Artifact,Compliance Mapping
SEC-001.1,Lambda execution roles must use least privilege,IAM,IAM policy with resource-specific ARNs and no wildcards,IAM Access Analyzer + Config Rule: iam-policy-no-statements-with-admin-access,CloudTrail API calls: CreateRole/AttachRolePolicy,ISO 27001 A.9.2.3
SEC-001.2,All Lambda execution roles must have permission boundaries,IAM,Permission boundary policy attached via IAM API,Config Rule: iam-user-group-membership-in-group + Custom rule,IAM console permission boundary status,ISO 27001 A.9.2.3
SEC-001.3,Human access must use Identity Center federation,IAM,Identity Center permission sets with MFA enforcement,CloudTrail: AssumeRoleWithSAML events,Identity Center access logs and session reports,ISO 27001 A.9.4.2
SEC-002.1,Sensitive configuration must use Secrets Manager,Secrets Manager,Secrets stored with automatic rotation and KMS encryption,Config Rule: secretsmanager-rotation-enabled-check,Secrets Manager console rotation status + CloudTrail GetSecretValue,ISO 27001 A.10.1.2
SEC-002.2,Non-sensitive configuration must use Parameter Store with encryption,Parameter Store,SecureString parameters with customer-managed KMS keys,Config Rule: ssm-document-not-public + Custom parameter encryption rule,Parameter Store console + CloudTrail GetParameter events,ISO 27001 A.10.1.2
SEC-002.3,All encryption must use customer-managed KMS keys,KMS,CMKs with key rotation enabled and key policies,Config Rule: cmk-backing-key-rotation-enabled,KMS console key rotation status + CloudTrail key usage,ISO 27001 A.10.1.2
SEC-003.1,All Lambda functions must have code signing enabled,Lambda,Code Signing Configuration attached to Lambda functions,Config Rule: lambda-function-settings-check (CodeSigningConfigArn),Lambda console code signing status + CloudTrail UpdateFunctionCode,ISO 27001 A.12.2.1
SEC-003.2,Deployment artifacts must have integrity verification,S3,SHA256 checksums with S3 versioning and MFA delete protection,S3 bucket versioning + Object Lock + CloudTrail PutObject events,S3 console versioning + integrity verification logs,ISO 27001 A.12.2.1
SEC-004.1,Lambda functions accessing private resources must be VPC-attached,Lambda,Lambda function VPC configuration with security groups,Config Rule: lambda-inside-vpc,Lambda console VPC configuration + VPC Flow Logs,ISO 27001 A.13.1.1
SEC-004.2,VPC-attached Lambdas must use VPC endpoints for AWS services,VPC,VPC endpoints for S3/DynamoDB (gateway) and other services (interface),VPC endpoint policy validation + Cost optimization analysis,VPC console endpoint configuration + CloudTrail VPC endpoint usage,ISO 27001 A.13.1.1
SEC-005.1,Internet-facing APIs must have AWS WAF protection,WAF,WAF Web ACL attached to API Gateway stage with rate limiting,Config Rule: api-gw-associated-with-waf,WAF console metrics + API Gateway stage configuration,ISO 27001 A.13.1.3
SEC-005.2,API Gateway endpoints must implement proper authentication,API Gateway,Cognito User Pools or IAM authentication with API keys,API Gateway authorizer configuration validation,API Gateway console authorizer settings + CloudTrail API calls,ISO 27001 A.9.4.2
SEC-005.3,API Gateway must use security best practices,API Gateway,HTTPS-only with TLS 1.2+ and request validation enabled,Config Rule: api-gw-ssl-enabled + Custom validation rule,API Gateway console SSL configuration + CloudWatch API logs,ISO 27001 A.13.2.1
SEC-006.1,All data transmission must use encryption in transit,Certificate Manager,TLS 1.2+ certificates through ACM with Perfect Forward Secrecy,SSL Labs API testing + Certificate expiration monitoring,ACM console certificate status + SSL test results,ISO 27001 A.13.2.1
SEC-006.2,All data at rest must be encrypted with approved algorithms,KMS,AES-256 encryption with customer-managed KMS keys,Config Rules: encrypted-volumes + s3-bucket-ssl-requests-only,Encryption status across all services + CloudTrail encryption events,ISO 27001 A.10.1.2
NFR-001.1,Lambda functions must maintain 99.9% availability SLO,CloudWatch,CloudWatch availability metrics with SLO dashboards,CloudWatch availability alarms + SLO breach notifications,CloudWatch SLO dashboard + availability reports,ISO 27001 A.17.1.2
NFR-001.2,Critical functions must support multi-region deployment,Lambda,Multi-region Lambda deployment with Route 53 health checks,Route 53 health check status + Cross-region replication monitoring,Route 53 console health checks + deployment status across regions,ISO 27001 A.17.1.2
NFR-002.1,API Gateway + Lambda must meet latency requirements,CloudWatch,P50/P95/P99 latency monitoring with X-Ray tracing,CloudWatch latency alarms + X-Ray performance insights,CloudWatch latency dashboard + X-Ray service map,ISO 27001 A.12.1.3
NFR-002.2,Cold start latency must be minimized,Lambda,Provisioned concurrency for latency-critical functions,CloudWatch cold start metrics + Cost analysis,Lambda console provisioned concurrency + cold start reports,ISO 27001 A.12.1.3
